Station,Year,Month,Day,Hour,Max Load
text:u'COAST',2013,8,13,17,18779.025510000003
text:u'EAST',2013,8,5,17,2380.1654089999956
text:u'FAR_WEST',2013,6,26,17,2281.2722140000024
text:u'NORTH',2013,8,7,17,1544.7707140000005
text:u'NORTH_C',2013,8,7,18,24415.570226999993
text:u'SOUTHERN',2013,8,8,16,5494.157645
text:u'SOUTH_C',2013,8,8,18,11433.30491600001
text:u'WEST',2013,8,7,17,1862.6137649999998
